time,duration,screen_x,secrren_y,avg_dilation
172,120,721,344,0.20246624472573593
491,100,709,360,0.2519662447257356
790,100,680,432,0.05146624472573613
930,140,679,439,0.031466244725736114
1169,100,668,428,0.18796624472573642
1628,219,569,1012,0.2209662447257359
3063,100,163,301,0.06453375527426397
3183,199,186,369,0.015033755274263871
3462,279,389,333,0.018966244725735937
3761,618,389,330,
4419,259,392,342,
4858,339,61,209,
5217,120,50,201,
5456,100,466,730,
5576,259,526,744,
6114,100,412,836,
6253,259,399,850,
6533,219,361,882,
7011,339,57,191,
7868,139,519,752,
8028,279,493,741,
8327,100,443,762,
8446,160,439,748,
8825,100,415,315,
9045,219,413,341,
9443,299,582,764,
9822,140,596,429,
10041,160,633,266,
10221,1136,614,221,
11756,259,589,239,
12035,299,551,217,
12434,100,457,778,
12733,399,472,742,
13331,439,948,677,
13830,180,949,679,
14129,179,643,367,
14328,119,642,378,
14767,100,492,497,
14886,219,497,493,
15146,219,406,487,
15465,140,467,478,
15724,279,505,482,
16441,100,495,478,
16641,120,506,471,
16840,120,502,479,
17339,160,570,477,
17618,100,484,520,
18355,239,549,503,
20868,100,701,498,
21246,100,689,479,
21825,120,462,477,
22263,100,438,403,
22403,100,443,403,
22642,199,447,396,
22861,100,459,397,
23041,100,434,400,
23180,100,430,405,
23300,100,495,427,
23798,100,430,467,
23938,100,458,403,
24058,199,472,387,
24317,219,467,386,
24656,279,468,397,
24955,120,467,402,
25094,100,472,400,
25214,219,466,400,
25712,139,555,335,
25952,179,606,331,
26211,140,361,411,
26510,100,391,423,
26689,140,477,400,
27028,160,601,430,
27487,120,579,435,
28185,120,502,519,
28763,140,470,498,
29042,140,465,445,
29201,140,489,402,
29520,120,425,496,
29700,179,439,488,
29899,100,525,466,
30059,140,525,475,
30218,219,535,463,
30577,119,484,479,
30737,120,635,435,
30916,219,587,442,
31295,100,467,500,
31454,120,497,513,
31614,239,517,527,
32152,120,497,382,
32451,159,376,416,
33049,100,1201,-41,0.4060337552742639
33189,438,1247,55,0.5690337552742637
34365,160,586,272,0.34503375527426394
34684,219,876,295,0.393033755274264
34943,299,1043,290,0.18403375527426435
35322,179,1101,831,0.26703375527426365
35522,219,1107,799,0.2860337552742638
35920,339,1111,886,0.10103375527426417
36459,359,1098,809,0.1370337552742642
36837,100,1077,787,0.020533755274263932
37535,219,106,156,
37894,160,250,176,
38074,279,279,189,
38472,120,909,700,0.10046624472573606
38692,100,950,697,0.0999662447257359
38911,937,943,766,0.12446624472573609
39928,120,929,652,0.1304662447257363
40167,439,934,684,0.12446624472573609
40626,219,987,676,0.16496624472573584
40865,140,1016,691,0.17096624472573607
41024,379,1021,681,0.16946624472573601
41463,279,973,764,0.03596624472573584
41762,538,971,687,0.11803375527426363
42320,359,969,690,0.048466244725735574
42699,279,980,650,0.2499662447257358
42998,439,948,618,0.13646624472573565
43576,160,897,689,0.2519662447257356
43856,219,913,732,0.1224662447257363
44194,578,1035,745,0.0544662447257358
44793,179,1016,755,0.12446624472573609
45291,179,116,191,
45550,100,329,190,
45670,479,277,186,
46726,140,1022,765,0.1819662447257362
46886,199,1018,762,0.22546624472573606
47365,179,290,589,0.18896624472573587
47604,239,282,209,0.0780337552742636
47903,339,71,186,0.06703375527426392
48361,379,1010,728,0.1949662447257361
48760,239,1035,736,0.24746624472573586
49019,239,925,675,0.3824662447257361
49278,459,935,672,0.3479662447257361
49777,219,1015,733,0.3349662447257358
50076,299,1008,761,0.40446624472573633
50415,518,988,706,0.25896624472573615
51053,718,1011,752,0.23246624472573574
52070,120,875,655,0.513966244725736
52309,259,407,727,
52748,199,390,245,0.03446624472573623
52987,399,245,201,0.23203375527426395
53545,199,306,194,0.0780337552742636
53844,120,399,627,0.35296624472573557
54044,100,415,745,0.2314662447257363
54343,160,1022,754,0.20096624472573588
54542,259,1020,745,0.14196624472573616
54921,139,1040,733,0.44896624472573565
55120,359,952,690,0.24546624472573564
55698,140,992,659,0.3204662447257358
55878,379,998,762,0.38696624472573626
56297,179,1002,752,0.24096624472573636
56954,180,973,676,0.23946624472573586
57154,279,1008,671,0.26596624472573627
57453,498,929,733,0.38946624472573577
57971,259,983,764,0.145466244725736
58270,160,1015,663,0.36596624472573547
58589,139,1023,761,0.29846624472573646
58848,219,1045,758,0.4424662447257357
59367,239,998,742,0.48796624472573535
59845,120,1004,756,0.3154662447257359
60085,219,980,684,0.21746624472573606
60344,658,1008,674,0.15496624472573606
61321,139,440,689,0.3284662447257358
61480,259,410,727,0.199966244725736
61759,239,409,716,0.08996624472573611
62078,319,450,707,0.04946624472573591
62437,817,518,689,0.06353375527426408
63574,100,508,694,0.00896624472573615
63873,100,605,644,0.09103375527426438
64052,199,576,641,0.02853375527426394
64351,180,989,737,0.1225337552742638
64551,399,1035,753,0.08303375527426438
65009,140,925,759,0.16096624472573584
65348,239,550,744,0.18496624472573586
65647,199,533,685,0.04046624472573601
65866,399,601,728,0.06153375527426386
66285,179,627,724,0.016033755274264205
66544,140,461,765,0.06246624472573581
66744,179,419,728,0.042466244725736235
66983,199,610,732,0.10546624472573596
67202,239,632,727,0.11346624472573597
67461,459,607,726,0.09646624472573562
68040,179,504,997,0.04596624472573607
68718,100,604,719,0.03596624472573584
68837,139,580,715,0.017033755274264095
68997,339,528,719,0.09146624472573572
69355,180,502,720,0.08253375527426421
69814,160,985,744,0.061966244725736086
69993,180,1042,738,0.013966244725736043
70312,160,1063,733,0.03946624472573612
70751,140,397,782,0.2779662447257363
71070,199,436,785,0.1769662447257363
71289,219,394,752,0.07846624472573582
71748,179,234,166,
71947,219,303,174,
72187,797,358,188,
73024,538,498,203,
73582,100,497,200,
73722,140,519,202,
73881,120,705,204,
74200,957,664,196,
75177,439,551,249,
75696,319,255,213,
76074,140,559,197,
76234,140,488,204,
76433,179,747,228,
76633,199,701,257,
76932,199,233,234,
77151,120,266,218,
77331,379,39,214,
77729,140,91,214,
77929,139,300,216,
78427,239,107,189,
78686,219,72,195,
79145,160,427,710,
79364,100,505,721,
79643,120,494,612,
80580,100,439,730,
80700,100,452,692,
81019,159,518,701,
81238,219,449,719,
81517,199,405,732,
81737,120,408,733,
82295,159,408,787,
82514,140,400,789,
83292,120,420,660,
83930,199,484,703,
84229,100,574,706,
84847,159,380,759,
85066,100,401,776,
85186,120,394,796,
86083,120,315,825,
86263,100,524,814,
86442,199,501,823,
86861,100,439,677,
87020,100,494,585,
87140,180,502,560,
87339,120,450,700,
87558,239,510,712,
88256,120,320,725,
88934,179,461,620,
89173,180,400,668,
89552,219,429,677,
89792,140,356,688,
89971,179,286,722,
90230,140,308,729,
90469,140,421,789,
90968,100,330,723,
91167,120,333,722,
91506,120,253,815,
91725,140,299,790,
91885,179,381,659,
92244,120,369,611,
92383,120,365,615,
92623,419,436,663,
93340,459,401,681,
94058,140,435,667,
94218,120,425,660,
95055,160,442,664,
95773,120,565,675,
96012,239,452,759,
96331,219,446,748,
96570,120,558,664,
96789,180,502,682,
97168,100,569,687,
97288,120,566,672,
97607,139,465,689,
97806,179,467,679,
98225,239,463,679,
98604,179,476,646,
99042,140,439,729,
99501,100,574,676,
100039,140,610,640,
100219,319,613,631,
101056,120,545,786,
101395,120,444,665,
102232,100,435,658,
102591,100,413,639,
102791,100,427,631,
103130,140,369,636,
103289,100,373,634,
103588,179,385,666,
103808,359,378,658,
104186,120,426,618,
104446,120,428,615,
104645,120,408,669,
104784,120,454,606,
105383,120,345,643,
105542,160,337,669,
105781,120,452,619,
105941,379,440,621,
106419,140,422,629,
106619,199,422,604,
107077,100,500,668,
107396,179,481,666,
107795,279,424,733,
125998,160,374,666,
127274,159,507,537,
127453,160,527,547,
127932,259,498,531,
128630,100,342,502,
128809,199,354,486,
129866,159,570,541,
130903,160,371,508,
131401,179,450,525,
131660,140,307,508,
132837,379,425,414,
133315,100,435,409,
134491,219,403,423,
136984,160,430,618,
138359,120,364,581,
138838,140,330,605,
139416,120,402,587,
139655,179,363,594,
143164,140,559,567,
144520,100,478,701,
144839,140,529,661,
145836,159,589,580,
146494,199,457,650,
150242,100,640,731,
150521,179,600,738,
160629,140,683,561,
162324,259,642,631,
162862,120,528,712,
201980,120,892,589,
202119,179,888,584,
202777,140,971,472,
202977,100,916,494,
203116,120,966,489,
203495,179,1042,472,
203694,140,1001,586,
203894,399,1060,574,
204432,479,1020,635,
205529,120,893,600,
207562,219,885,610,
207801,100,887,613,
207921,140,888,604,
208120,120,884,567,
208300,160,873,588,
208659,140,878,625,
209556,180,846,643,
210054,179,802,562,
210493,259,879,506,
210792,179,823,674,
211071,100,854,674,
211570,100,962,685,
211689,179,946,694,
212108,120,798,639,
212467,159,799,592,
213304,100,893,516,
213424,160,892,522,
213663,179,1010,470,
213862,120,945,467,
214062,179,932,475,
214261,100,1001,472,
214520,259,1068,481,
214839,159,885,478,
215198,199,849,383,
215517,120,864,343,
215657,179,906,439,
215856,219,846,438,
216155,219,837,479,
216394,140,840,483,
218049,219,934,553,
218289,279,914,565,
218588,100,994,560,
218747,120,988,564,
219086,100,907,581,
219285,219,983,460,
219545,359,938,384,
220023,179,1051,432,
220223,140,1006,435,
220382,239,1016,515,
220641,319,1006,514,
220980,319,977,523,
221319,140,991,527,
221578,439,980,539,
222994,140,896,494,
223293,160,947,488,
223612,239,844,517,
223891,100,866,512,
224011,160,883,560,
224689,199,941,511,
227001,319,997,541,
227400,100,940,525,
227520,259,942,508,
227998,179,926,493,
228197,339,1000,494,
228636,199,1070,491,
228855,180,1024,441,
229055,219,846,524,
229294,120,860,518,
229713,119,885,556,
229952,120,886,566,
230231,100,849,483,
230351,259,850,475,
230630,140,857,465,
230949,120,940,500,
231148,120,861,438,
231447,140,879,426,
231627,239,961,405,
232205,259,1059,446,
232504,239,1049,445,
233002,239,894,481,
233262,140,915,519,
233421,160,932,507,
234617,120,1391,498,
234797,139,1387,496,
235056,140,1251,459,
235335,160,1315,390,
235834,239,1320,373,
236751,140,1015,581,
236930,379,941,517,
237329,100,890,476,
237448,239,886,469,
237768,199,910,431,
238246,239,951,423,
238505,279,1089,459,
239044,120,1037,451,
239283,319,872,447,
239721,339,962,417,
240120,100,947,519,
240300,259,920,502,
241017,120,1005,572,
241157,140,1009,536,
241316,159,1004,544,
241496,200,1030,525,
241735,100,691,487,
242114,139,887,504,
242273,120,870,515,
242433,379,960,479,
242852,140,988,494,
243091,359,1066,494,
243490,319,856,507,
243829,219,882,531,
244147,339,894,538,
244526,160,923,569,
244706,140,929,569,
244865,100,886,565,
245304,199,936,553,
245922,179,883,532,
246121,160,905,493,
246301,419,869,491,
246739,259,872,444,
247078,199,1030,460,
247298,160,1088,483,
247517,638,1081,613,
248195,159,980,540,
248374,179,995,551,
248574,100,998,567,
248693,199,1027,519,
248972,199,1043,492,
249271,120,1042,490,
249491,279,871,517,
249870,120,863,530,
250009,140,866,523,
250268,100,919,436,
250408,199,957,403,
250687,179,407,164,
250886,279,276,180,
251205,140,367,21,
251385,259,447,-36,
251664,279,513,-50,
252063,199,318,183,
252541,140,300,212,
252721,359,492,209,
253099,179,231,213,
253299,578,271,212,
253917,299,48,214,
254236,100,100,216,
254515,100,977,618,
254993,120,401,584,
255193,179,379,593,
255612,219,960,588,
255851,439,857,513,
256369,160,875,552,
256768,239,928,593,
257047,319,856,448,
257625,200,889,416,
257884,319,1071,500,
258283,239,1028,435,
258542,239,1060,452,
259021,180,958,402,
259380,199,940,509,
259719,339,989,504,
260277,618,923,499,
260935,419,1004,547,
261374,160,989,546,
261693,140,937,515,
261852,159,924,522,
262051,160,924,527,
262231,100,916,525,
262390,1017,925,502,
263427,100,937,515,
263547,139,885,568,
263726,100,892,579,
263886,100,1022,545,
264025,100,1024,552,
264205,359,926,494,
264603,100,1008,489,
264723,100,1002,497,
264843,120,880,552,
265142,339,869,544,
265500,279,948,554,
265999,120,901,569,
266617,100,963,480,
266737,140,1054,503,
266896,100,1048,504,
267395,339,985,418,
267753,239,1000,529,
268312,419,1005,527,
268850,239,893,492,
269109,159,896,487,
269289,279,1024,507,
269588,179,1037,541,
270266,259,1036,547,
270545,100,1038,537,
270704,279,1037,534,
271063,180,1077,626,
271362,199,992,496,
271641,120,1027,531,
272100,259,1008,547,
272379,120,1062,614,
272519,120,1055,623,
272678,100,953,574,
273196,159,1084,618,
273376,140,1099,614,
273595,199,886,577,
273894,219,932,561,
274313,259,934,506,
274811,239,847,487,
275270,498,887,527,
275808,239,910,559,
276107,319,973,415,
276446,180,1086,435,
276685,199,1032,441,
277343,120,969,417,
277483,199,972,396,
277842,160,1095,439,
278041,100,1042,433,
278161,100,1039,428,
278380,379,369,178,
278839,359,1019,471,
279218,219,891,473,
279457,120,852,477,
279935,219,293,192,
280234,179,929,513,
280434,279,864,477,
280972,678,858,454,
282168,159,878,502,
282348,160,880,529,
282667,279,874,525,
283026,219,853,520,
283364,120,1019,517,
283504,100,1012,514,
283704,100,1041,527,
284581,179,968,492,
284780,100,1011,485,
284900,100,1013,480,
285119,379,940,566,
285538,120,1024,558,
285757,239,1047,528,
286096,140,234,242,
286255,1416,293,206,
287731,199,520,213,
287950,140,499,214,
288110,538,500,214,
288668,1037,674,210,
289725,379,573,240,
290123,160,567,242,
290323,179,317,219,
290522,279,270,206,
290841,239,66,230,
291140,179,746,232,
291340,100,707,222,
291479,219,820,219,
291798,120,851,239,
291978,179,699,234,
292177,339,762,229,
292556,219,691,241,
292895,100,760,242,
293094,140,865,255,
296184,419,99,229,
297520,120,957,396,
298118,140,1040,612,
300451,219,703,187,
300730,339,422,462,
301129,100,532,426,
301268,199,536,427,
301488,219,538,511,
301727,139,377,460,
301926,239,59,207,
302225,140,38,215,
302385,638,89,210,
303043,199,42,214,
303282,219,83,190,
303521,279,107,224,
303820,498,270,221,
304339,219,305,223,
304718,319,60,223,
305057,379,103,222,
305515,299,559,445,
305834,279,426,450,
306153,299,507,466,
306512,199,602,496,
306911,100,369,606,
307110,120,396,606,
307290,359,451,615,
308147,279,528,598,
308645,140,529,675,
308805,140,538,680,
309044,140,524,679,
309243,180,519,740,
309483,499,517,592,
310081,119,635,666,
310260,239,622,654,
310519,160,669,655,
310918,199,656,700,
311317,159,596,727,
311496,120,661,678,
312134,180,674,688,
312513,359,506,736,
312992,139,540,708,
313151,139,489,733,
313311,100,500,723,
313430,139,486,744,
313590,379,529,692,
314008,100,532,694,
314407,120,617,774,
314666,119,478,621,
314846,120,499,601,
314985,100,504,592,
315105,199,509,599,
315324,359,513,591,
315883,199,421,550,
316182,219,382,590,
316421,140,384,586,
316580,199,477,587,
316879,120,523,600,
317039,120,519,602,
317238,159,449,622,
317498,159,471,551,
317717,299,470,524,
318375,159,595,487,
318554,120,595,485,
318714,299,656,477,
319272,100,543,521,
319411,279,575,470,
320329,379,608,470,
320727,160,727,450,
320927,219,667,493,
321266,140,768,558,
321425,120,675,551,
321864,100,601,562,
321983,279,586,561,
322821,139,629,643,
322980,239,590,629,
323240,120,606,620,
323379,139,556,622,
323578,140,656,664,
323798,219,608,632,
324436,219,657,476,
324715,100,578,632,
324834,578,608,640,
325692,160,642,670,
326031,180,268,178,
326290,140,533,631,
326469,379,544,640,
327526,100,607,649,
328005,159,596,588,
328204,259,599,567,
328483,578,584,493,
329081,160,652,477,
329560,159,580,481,
329739,279,616,466,
330058,180,509,479,
330257,100,462,523,
330377,339,455,518,
330736,140,438,531,
331035,319,636,486,
331932,159,114,227,
332211,120,519,547,
332351,299,572,534,
332670,120,566,551,
332849,180,600,480,
333069,120,526,554,
333268,120,477,630,
333567,120,504,592,
333707,100,559,600,
333846,140,470,601,
334105,319,504,599,
334604,139,503,599,
334763,379,503,614,
335401,199,470,668,
335720,159,499,701,
336000,120,485,690,
336239,160,573,677,
336418,100,477,674,
336538,120,475,680,
336817,219,475,683,
337076,259,471,683,
337355,279,481,676,
337734,399,532,547,
338213,140,488,690,
338372,459,499,598,
338851,159,476,677,
339110,120,641,665,
339389,120,452,665,
339588,459,511,592,
340067,140,510,591,
340326,140,475,619,
340485,100,441,711,
340725,319,458,685,
341163,100,548,597,
341323,219,601,601,
341662,100,595,604,
341921,140,625,591,
342120,219,593,591,
342479,259,508,512,
342758,120,510,532,
342898,279,498,612,
343217,140,505,588,
343456,439,471,585,
344174,180,519,488,
344493,100,533,492,
344672,199,498,498,
345091,140,507,488,
345370,159,503,486,
345550,379,502,492,
346008,319,486,624,
346666,498,473,563,
347184,159,484,547,
347404,179,463,675,
347902,518,533,499,
348859,180,523,508,
349158,319,515,602,
349497,159,512,604,
349736,180,499,573,
349936,100,483,569,
350255,219,471,693,
350494,140,402,699,
350733,180,413,613,
351371,100,604,687,
351491,179,581,648,
351710,179,594,722,
351910,100,569,715,
352587,199,91,202,
352807,199,48,222,
353026,578,44,222,
353644,100,255,223,
353764,239,369,232,
354103,1077,102,238,
355439,100,555,721,
355817,100,504,624,
356136,100,543,612,
356415,259,465,628,
356994,219,620,656,
357233,259,665,654,
358010,160,643,583,
358190,199,646,585,
358928,160,644,594,
359287,399,625,576,
359924,259,508,538,
360204,259,483,523,
360582,319,478,533,
360921,140,475,519,
361081,299,530,519,
361400,518,447,602,
361978,100,455,600,
362118,339,450,606,
362496,100,533,576,
362616,379,527,584,
363015,140,531,590,
363234,120,524,592,
363394,518,551,512,
363932,179,556,592,
364231,119,561,587,
364470,119,557,506,
364610,160,596,509,
364789,259,602,507,
365068,180,455,515,
365367,140,510,521,
365666,100,444,489,
365985,120,431,519,
366165,179,438,508,
366364,140,523,555,
366524,159,522,535,
366703,140,514,531,
367062,179,555,589,
367301,239,484,632,
367560,199,452,628,
367780,179,462,543,
367979,159,464,531,
368218,100,531,546,
368418,140,536,547,
368717,179,552,530,
368916,319,605,521,
369335,120,518,502,
369534,120,553,529,
370212,120,588,420,
370352,179,592,410,
370551,199,601,414,
370770,219,616,411,
371050,100,664,472,
371508,239,727,511,
371827,100,664,514,
372007,120,652,518,
372266,140,650,493,
372605,100,664,511,
372844,140,638,595,
373422,100,645,591,
373602,140,755,437,
373801,339,834,433,
374200,638,721,429,
375695,319,622,616,
376632,140,607,611,
377011,279,722,437,
377589,279,719,436,
377888,180,711,435,
378088,319,721,429,
378546,120,767,359,
378686,100,690,356,
378825,1037,680,349,
379882,578,668,349,
380480,319,704,401,
380819,498,674,363,
381377,279,717,425,
381676,379,730,437,
382294,100,662,520,
382793,100,744,487,
383211,199,593,516,
383590,120,549,526,
383730,180,516,613,
384009,140,525,609,
384168,199,522,596,
384507,140,443,565,
385026,219,538,614,
412001,419,588,361,
412659,120,518,439,
412799,140,511,429,
413038,239,418,543,
413297,399,461,529,
413895,140,391,523,
414394,239,525,550,
414992,100,580,537,
415191,518,593,514,
415749,219,588,519,
416049,379,501,417,
416447,120,488,399,
416607,199,475,575,
417145,179,600,557,
417384,140,454,505,
417544,419,445,497,
418002,518,585,483,
418541,160,502,458,
418740,120,586,482,
418880,319,594,471,
419219,140,597,455,
419378,518,559,483,
419916,140,468,539,
420076,219,480,510,
420415,439,593,480,
420873,319,670,516,
421372,100,749,502,
421571,120,688,470,
421731,120,684,464,
421990,100,552,495,
422109,180,556,481,
422349,179,554,491,
422648,179,503,497,
422887,120,463,210,
423047,100,329,173,
423206,299,203,169,
423864,140,501,495,
424024,120,499,500,
424163,100,570,513,
424562,140,494,512,
424741,319,578,497,
425120,279,627,502,
425419,159,551,451,
425599,199,580,407,
425818,379,660,401,
426217,299,568,412,
426536,199,611,404,
426755,100,618,417,
426875,160,641,407,
427233,299,547,421,
427572,498,374,418,
428111,259,453,398,
428410,120,524,394,
428549,120,684,346,
428689,359,699,345,
429108,259,412,404,
429466,239,458,411,
429766,119,509,402,
430065,518,409,405,
430603,239,459,373,
430862,120,505,341,
431002,239,549,306,
431261,139,586,318,
431520,100,490,517,
431799,100,581,500,
432058,159,423,504,
432258,180,421,506,
432497,100,506,509,
432636,140,509,499,
432856,120,486,382,
432995,518,470,328,
433633,139,465,337,
433793,140,471,328,
433952,578,551,296,
434550,977,565,297,
435587,120,396,448,
435787,319,423,426,
436125,160,412,527,
436305,100,410,503,
436684,718,396,423,
437461,100,406,433,
437621,239,391,503,
437880,120,394,505,
438040,159,386,514,
438219,339,380,503,
438578,120,354,444,
438717,279,351,429,
439415,957,348,429,
440472,399,363,365,
440911,159,406,343,
441190,239,446,340,
441469,200,537,329,
441688,239,456,387,
441947,319,545,382,
442286,219,511,387,
442825,140,418,354,
442984,120,331,369,
443283,179,513,304,
443542,219,436,390,
443801,279,518,391,
444101,259,515,396,
444380,678,419,347,
445077,379,424,355,
445476,399,346,425,
445895,478,372,431,
446393,159,369,434,
446573,439,427,500,
447111,100,501,524,
447271,698,415,516,
448028,219,402,527,
448387,379,470,531,
448786,259,544,527,
449065,100,459,450,
449284,558,458,447,
449862,180,535,626,
450102,199,576,559,
450560,299,493,688,
453092,120,463,525,
454109,100,588,505,
454308,100,507,519,
454428,100,500,507,
455485,199,537,423,
455744,179,640,422,
455943,120,592,413,
456103,239,586,413,
468584,120,647,579,
468883,279,609,572,
469182,199,612,579,
469421,140,672,594,
469780,100,585,519,
469979,498,548,501,
470518,100,729,621,
470697,120,701,586,
470996,120,753,602,
471594,159,805,528,
471873,399,676,654,
472292,120,669,655,
472432,219,665,639,
473309,100,695,668,
473608,100,619,613,
473728,219,633,682,
474007,219,678,651,
474426,100,625,673,
474645,160,705,657,
475083,140,594,593,
475243,279,631,571,
475542,179,699,592,
476379,239,685,660,
476858,120,569,539,
477177,179,676,530,
477376,100,682,547,
477556,120,625,588,
478353,180,502,106,
478652,100,692,545,
478951,120,693,498,
479111,120,795,504,
479450,499,765,495,
479968,259,770,454,
481164,159,818,501,
481483,100,799,500,
481663,120,665,620,
482002,120,719,641,
482719,140,683,586,
483078,179,665,662,
483278,179,723,445,
483497,160,741,404,
483676,139,750,536,
483836,179,773,497,
484035,179,844,509,
484514,140,598,538,
484673,179,580,491,
484873,319,561,512,
485212,180,620,507,
485411,339,582,507,
485770,379,607,485,
486288,160,605,495,
486567,140,556,503,
486767,199,590,490,
490356,120,594,350,
490495,498,594,417,
491013,199,601,416,
491273,179,527,373,
491472,219,493,334,
492010,179,656,349,
492210,339,664,435,
492628,180,585,430,
492908,439,645,541,
493366,140,688,521,
493645,100,626,546,
493884,160,669,429,
494064,180,672,437,
494303,279,606,426,
494602,279,659,433,
494921,180,659,432,
495200,219,656,438,
495440,459,566,427,
495998,199,579,420,
496217,120,641,434,
496357,658,706,382,
497035,339,661,330,
497393,339,762,334,
497792,180,815,498,
498091,119,735,506,
498390,319,823,510,
498809,199,621,419,
499028,140,721,464,
499188,100,785,510,
499347,160,839,505,
499527,160,746,506,
499786,319,694,346,
500125,478,653,340,
500623,558,698,332,
501221,279,693,261,
501520,160,596,339,
501700,279,574,319,
501999,120,581,371,
502139,120,587,367,
502278,299,658,356,
502617,239,611,280,
502876,319,675,389,
503275,100,608,266,
503395,359,627,284,
503813,458,574,317,
504292,399,570,364,
504711,259,644,368,
504990,718,550,373,
505727,279,550,369,
506026,120,478,440,
506186,379,487,372,
506585,100,648,393,
506784,259,671,377,
507063,199,746,378,
507302,498,647,382,
507821,180,457,340,
508060,139,571,376,
508220,518,554,355,
508758,339,496,379,
509117,478,526,370,
509615,219,519,339,
509854,199,559,327,
510074,618,456,341,
510752,179,569,333,
510951,120,568,336,
511090,159,397,396,
511270,200,453,380,
511489,239,495,408,
511848,479,369,417,
512347,419,404,415,
512845,179,501,404,
513144,180,411,405,
513343,339,500,348,
513702,239,460,342,
513962,459,592,331,
514440,100,595,333,
514560,259,684,340,
514839,578,656,341,
516673,100,530,335,0.1200337552742643
516812,179,547,311,0.36903375527426396
517052,120,582,427,0.2940337552742638
517191,319,572,418,0.3090337552742639
517849,140,759,491,0.24803375527426397
518009,199,765,510,0.05553375527426363
518428,219,771,508,0.3050337552742639
518707,279,695,514,0.229533755274264
519065,100,795,535,0.18803375527426391
519225,160,637,583,0.11803375527426363
519424,159,585,582,0.09853375527426378
519604,479,579,579,0.09003375527426405
520102,379,521,515,0.22603375527426417
520501,179,550,459,0.2240337552742644
520700,578,594,482,0.2425337552742639
521298,120,590,467,0.22753375527426423
521817,140,567,424,0.17803375527426413
521976,219,560,437,0.17003375527426412
522216,478,614,437,0.2475337552742638
522714,279,556,431,0.29253375527426373
523053,139,589,417,0.25153375527426425
523213,140,546,392,0.3125337552742642
523472,279,493,382,0.2910337552742641
523771,279,554,385,0.23403375527426418
524209,100,487,384,0.2655337552742636
524508,498,670,428,0.18703375527426447
525047,140,513,386,0.21853375527426389
525306,419,479,383,0.3555337552742639
525764,160,542,345,0.2425337552742639
525964,120,543,344,0.26503375527426387
526123,120,472,403,0.2550337552742641
526263,239,468,389,0.19753375527426398
526542,199,308,330,0.2115337552742642
526801,179,416,402,0.15453375527426427
527001,279,355,453,0.092533755274264
527320,259,486,484,0.18603375527426413
527599,199,543,492,0.20153375527426398
527818,199,504,480,0.23503375527426407
